127.0.0.1 - - [08/Mar/2021:00:48:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:00 +0530] "GET /Student_Record_Management/index.html HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/apj%20sir1.png HTTP/1.1" 200 16629
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/assets/css/main.css HTTP/1.1" 200 50518
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/assets/js/skel.min.js HTTP/1.1" 200 9085
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/dgi.png HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/assets/js/main.js HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/assets/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/images/home1.jpg HTTP/1.1" 200 742748
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:01 +0530] "GET /Student_Record_Management/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:12 +0530] "GET /Student_Record_Management/dgiOneView.html HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:12 +0530] "GET /Student_Record_Management/style.css HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:12 +0530] "GET /Student_Record_Management/result.png HTTP/1.1" 200 713512
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:18 +0530] "GET /Student_Record_Management/adminLogin.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:48:18 +0530] "GET /Student_Record_Management/user.png HTTP/1.1" 200 22159
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/apj%20sir1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/dgi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/images/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:05 +0530] "GET /Student_Record_Management/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:16 +0530] "GET /Student_Record_Management/dgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:16 +0530] "GET /Student_Record_Management/result.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:16 +0530] "GET /Student_Record_Management/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:20 +0530] "GET /Student_Record_Management/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:20 +0530] "GET /Student_Record_Management/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39236
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "GET /Student_Record_Management/logo.png HTTP/1.1" 200 10658
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:31 +0530] "GET /Student_Record_Management/apj%20sir.png HTTP/1.1" 200 327180
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:42 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:00:55:42 +0530] "GET /Student_Record_Management/errorAdminLogin.html HTTP/1.1" 200 897
